A部——人类生活必需
本 部 目 录
（参见及附注省略）
A43D制鞋或修鞋的机械、工具、设备或方法（缝纫入D05B）〔6〕	125
A44服饰缝纫用品；珠宝	132
A44B纽扣，别针，带扣，拉链或类似物（专用于鞋上的紧固物入A43C）	132
A44C珠宝；手镯；其他人身装饰品；硬币	135
A45手携物品或旅行品	137
A45B手杖（盲人用行路辅助物，如手杖入A61H 3/06）；伞；女用扇或类似物（手杖或伞的座架或支座入A47G 25/12）	137
A45C小包；行李箱；手提袋	139
A45D理发或修面设备；修指甲或其他化妆处理（假发、男子假发或类似物入A41G 3/00，A41G 5/00；理发椅入A47C 1/04；剪发器具、剃刀入B26B）	142
A45F旅行或野营装备；随身携带的袋或包〔1，8〕	149
A46刷类制品	151
A46B刷类（非刷类制品组成部分的柄入B25G）	151
A46D各种刷子的制造	153
A47家具；家庭用的物品或设备；咖啡磨；香料磨；一般吸尘器	154
A47B桌子；写字台；办公家具；柜橱；抽屉；家具的一般零件（家具的连接部件入F16B 12/00）	154
A47C椅子（专用于车辆的座椅入B60N 2/00）；沙发；床（一般室内装饰品入B68G）	162
A47D儿童专用的家具（学校的长凳或课桌入A47B 39/00，A47B 41/00）	170
A47F商店、仓库、酒店、饭店等场所用的特种家具、配件或附件；付款柜台	172
A47G家庭用具或餐桌用具（书档入A47B 65/00；刀具入B26B）	175
A47H门和窗的装饰品（与门或窗的功能有关的入E05；卷轴式窗帘入E06B；与门窗有关的特殊设备或措施，如为了通风或密封的入E06B 7/00）	180
A47J厨房用具；咖啡磨；香料磨；饮料制备装置〔6〕	183
A47K未列入其他类目的卫生设备（与供水或排水管道、污水槽相连的入E03C；厕所入E03D）；盥洗室辅助用具（化妆用具入A45D）	189
A47L家庭的洗涤或清扫（刷子入A46B；大量瓶子或其他同一种类空心物件的洗涤入B08B 9/00；洗衣入D06F）；一般吸尘器（一般清扫入B08）	193
分部：保健；救生；娱乐	200
A61医学或兽医学；卫生学	200
A61B诊断；外科；鉴定（分析生物材料入G01N，如G01N 33/48）	200
A61C牙科；口腔或牙齿卫生的装置或方法（不带驱动的牙刷入A46B；牙科制品入A61K 6/00清洁牙齿或口腔的配制品入A61K 8/00，A61Q 11/00）	208
A61D兽医用仪器、器械、工具或方法	213
